age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
66.0,retired,married,basic.4y,no,yes,no,,jul,mon,7.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,1
47.0,admin.,married,university.degree,no,yes,yes,cellular,dec,mon,5.0,999.0,0.0,nonexistent,-3.0,,-33.0,0.717,5023.5,0
43.0,technician,single,professional.course,unknown,,no,cellular,jul,tue,1.0,999.0,0.0,nonexistent,1.4,,-42.7,4.962,5228.1,0
46.0,technician,married,professional.course,no,yes,,cellular,sep,thu,2.0,999.0,1.0,failure,-3.4,92.379,-29.8,0.809,5017.5,0
55.0,retired,married,basic.9y,unknown,yes,no,cellular,jul,thu,8.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,,0
44.0,admin.,married,university.degree,no,no,no,cellular,aug,wed,2.0,4.0,1.0,success,-2.9,92.201,-31.4,0.879,5076.2,0
56.0,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.076,5195.8,1
38.0,blue-collar,single,basic.6y,no,yes,,cellular,may,wed,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.281,5099.1,0
29.0,self-employed,single,university.degree,no,no,yes,,nov,mon,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0
42.0,entrepreneur,married,university.degree,no,unknown,unknown,cellular,jul,thu,4.0,999.0,0.0,nonexistent,,93.918,-42.7,4.962,5228.1,1
34.0,admin.,married,university.degree,no,yes,no,telephone,jun,mon,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
33.0,blue-collar,married,basic.9y,no,yes,no,,may,thu,5.0,999.0,0.0,nonexistent,,92.893,-46.2,1.266,5099.1,0
54.0,admin.,,high.school,no,no,yes,cellular,nov,fri,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
44.0,technician,married,professional.course,no,yes,no,cellular,apr,wed,1.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.415,5099.1,0
43.0,admin.,single,university.degree,no,yes,no,cellular,aug,wed,5.0,999.0,,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
59.0,retired,divorced,university.degree,unknown,no,no,cellular,jul,tue,2.0,999.0,0.0,nonexistent,1.4,93.918,,4.961,5228.1,0
32.0,technician,married,professional.course,no,yes,no,cellular,,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,,5099.1,0
41.0,admin.,divorced,university.degree,no,no,no,cellular,apr,tue,4.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0
39.0,services,single,,unknown,yes,no,cellular,apr,mon,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30.0,technician,single,university.degree,no,no,yes,cellular,nov,thu,4.0,999.0,0.0,nonexistent,-0.1,,-42.0,4.076,5195.8,0
30.0,management,married,university.degree,no,yes,no,telephone,mar,mon,7.0,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0
34.0,blue-collar,single,basic.9y,no,,no,cellular,may,,2.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.299,5099.1,0
31.0,technician,married,university.degree,no,yes,yes,cellular,aug,wed,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
33.0,blue-collar,married,basic.6y,unknown,no,no,telephone,may,wed,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
31.0,admin.,single,university.degree,,no,no,cellular,,,,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
30.0,technician,single,professional.course,no,no,no,cellular,sep,tue,1.0,999.0,5.0,failure,-1.1,94.199,-37.5,0.877,4963.6,0
41.0,technician,,professional.course,unknown,no,no,telephone,,mon,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
59.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,2.0,999.0,0.0,nonexistent,,93.444,-36.1,4.965,5228.1,0
40.0,admin.,divorced,university.degree,no,no,no,cellular,aug,mon,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
47.0,technician,married,professional.course,unknown,yes,no,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
45.0,admin.,married,high.school,no,no,no,telephone,may,wed,2.0,999.0,0.0,nonexistent,1.1,93.994,,4.857,5191.0,0
36.0,management,single,high.school,no,yes,,cellular,apr,mon,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
53.0,admin.,married,university.degree,no,no,yes,cellular,jun,mon,,999.0,0.0,nonexistent,,92.963,-40.8,1.215,5076.2,0
48.0,blue-collar,married,basic.9y,unknown,yes,,telephone,may,wed,6.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
,technician,,professional.course,no,yes,yes,cellular,,mon,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
37.0,technician,married,,no,no,no,cellular,,thu,1.0,,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
74.0,retired,divorced,basic.4y,no,yes,no,cellular,oct,mon,2.0,999.0,0.0,nonexistent,,,-49.5,1.0,4963.6,0
45.0,admin.,married,university.degree,no,no,no,cellular,jul,tue,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
53.0,technician,married,professional.course,,no,no,telephone,jun,fri,6.0,999.0,0.0,nonexistent,1.4,,-41.8,4.959,5228.1,0
,blue-collar,married,basic.4y,unknown,no,yes,telephone,may,fri,8.0,999.0,,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0
38.0,technician,divorced,high.school,no,,no,cellular,aug,mon,2.0,999.0,0.0,nonexistent,1.4,93.444,,4.965,5228.1,0
31.0,admin.,single,university.degree,no,yes,no,cellular,jul,tue,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
54.0,management,divorced,university.degree,no,yes,no,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,,4.856,5191.0,0
40.0,services,married,,,yes,no,telephone,jun,wed,6.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
37.0,technician,married,professional.course,no,yes,no,cellular,jul,fri,5.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
24.0,management,,university.degree,no,no,yes,telephone,nov,mon,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.406,5195.8,0
29.0,admin.,married,high.school,no,yes,no,cellular,,thu,3.0,999.0,0.0,nonexistent,-1.1,,-37.5,0.879,4963.6,0
,blue-collar,married,high.school,no,yes,no,cellular,may,wed,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
40.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,3.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
46.0,admin.,married,high.school,unknown,unknown,unknown,telephone,jun,mon,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
47.0,services,married,unknown,unknown,yes,yes,telephone,may,mon,6.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
25.0,blue-collar,married,basic.4y,no,no,yes,,jul,thu,2.0,999.0,0.0,nonexistent,,93.918,-42.7,4.958,5228.1,1
41.0,housemaid,married,basic.4y,unknown,no,no,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,,5228.1,0
50.0,admin.,married,high.school,no,no,no,cellular,jul,wed,3.0,999.0,,nonexistent,,92.469,-33.6,1.085,5076.2,1
25.0,student,single,high.school,no,no,no,telephone,apr,wed,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1
47.0,admin.,,university.degree,unknown,no,yes,telephone,may,tue,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
59.0,housemaid,married,basic.6y,no,no,no,telephone,jun,fri,3.0,,0.0,nonexistent,1.4,94.465,-41.8,4.947,,0
34.0,blue-collar,single,basic.4y,no,,no,cellular,jul,wed,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
48.0,,married,unknown,no,no,no,cellular,aug,mon,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1
37.0,entrepreneur,married,university.degree,no,no,yes,telephone,may,fri,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
41.0,technician,divorced,basic.4y,no,yes,no,telephone,jun,,2.0,999.0,,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
53.0,management,married,university.degree,,no,yes,telephone,jul,tue,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,,5228.1,0
49.0,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
24.0,admin.,single,high.school,no,yes,yes,telephone,jul,thu,1.0,999.0,0.0,nonexistent,,93.918,-42.7,4.966,5228.1,0
30.0,,,university.degree,unknown,yes,no,cellular,aug,thu,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
44.0,technician,divorced,professional.course,no,no,no,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
41.0,services,married,high.school,no,no,no,telephone,may,fri,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
36.0,technician,married,professional.course,no,no,no,telephone,jun,fri,3.0,999.0,,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
36.0,management,married,university.degree,no,no,yes,cellular,may,mon,4.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
30.0,admin.,single,high.school,no,yes,no,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
51.0,admin.,divorced,basic.9y,unknown,yes,,,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
34.0,,married,university.degree,no,yes,yes,cellular,,tue,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
68.0,retired,single,university.degree,no,no,no,cellular,sep,mon,2.0,999.0,1.0,,-3.4,92.379,-29.8,0.739,,0
46.0,blue-collar,married,basic.6y,no,no,no,telephone,jun,thu,10.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
29.0,services,single,high.school,no,yes,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,-1.8,,-40.0,0.699,5008.7,1
43.0,management,married,university.degree,,,no,cellular,nov,thu,4.0,,1.0,,-0.1,93.2,-42.0,4.076,,0
39.0,admin.,married,high.school,,no,no,cellular,may,thu,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
32.0,blue-collar,single,professional.course,no,no,no,cellular,may,tue,6.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,0
42.0,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,thu,,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
53.0,self-employed,single,university.degree,no,no,yes,cellular,nov,thu,2.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.076,,0
28.0,technician,divorced,professional.course,unknown,yes,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
33.0,unemployed,married,basic.9y,no,yes,no,telephone,nov,wed,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
46.0,blue-collar,married,basic.4y,no,no,no,cellular,aug,mon,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33.0,admin.,married,university.degree,no,yes,no,cellular,aug,fri,,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
36.0,admin.,single,university.degree,no,yes,no,cellular,aug,thu,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
35.0,services,married,basic.9y,no,no,no,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0
41.0,entrepreneur,married,basic.4y,no,yes,no,telephone,,wed,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,,0
34.0,admin.,married,university.degree,no,no,no,telephone,jul,wed,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
31.0,entrepreneur,,university.degree,no,no,no,cellular,jul,,7.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,,5228.1,0
45.0,blue-collar,single,basic.6y,no,yes,no,telephone,may,wed,5.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
47.0,self-employed,married,basic.4y,unknown,unknown,unknown,telephone,jun,tue,8.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
42.0,admin.,single,university.degree,no,unknown,unknown,telephone,jun,wed,2.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
,technician,married,university.degree,,yes,no,cellular,jun,tue,1.0,10.0,1.0,success,,94.055,-39.8,0.702,4991.6,1
48.0,,divorced,high.school,no,no,yes,cellular,jul,mon,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,,0
27.0,admin.,single,high.school,,no,no,cellular,jul,tue,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,,,0
69.0,unknown,married,university.degree,no,yes,yes,cellular,sep,,,3.0,1.0,,-3.4,92.379,-29.8,0.77,,0
28.0,self-employed,single,university.degree,no,yes,no,telephone,mar,wed,1.0,999.0,1.0,failure,,,-34.8,0.651,5008.7,0
28.0,services,married,high.school,no,,no,cellular,,tue,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
39.0,management,,university.degree,no,no,no,,aug,thu,6.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1
52.0,self-employed,single,professional.course,no,no,yes,cellular,nov,thu,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
55.0,technician,married,university.degree,unknown,yes,no,cellular,aug,,2.0,999.0,0.0,nonexistent,,,-36.1,4.965,,0
50.0,services,single,high.school,no,yes,no,cellular,jul,wed,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
40.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,nov,thu,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
50.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,4.0,3.0,2.0,success,-1.8,92.893,-46.2,1.354,5099.1,1
35.0,blue-collar,married,professional.course,no,yes,no,cellular,nov,mon,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0
31.0,blue-collar,married,basic.9y,no,yes,no,,jun,tue,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
35.0,admin.,single,university.degree,no,no,yes,telephone,may,wed,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
35.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
48.0,admin.,divorced,university.degree,no,no,no,cellular,may,tue,9.0,,0.0,nonexistent,-1.8,92.893,,,5099.1,0
43.0,admin.,married,high.school,no,yes,yes,cellular,jul,mon,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
44.0,services,married,high.school,no,yes,no,cellular,apr,fri,1.0,999.0,,failure,-1.8,93.075,-47.1,1.479,5099.1,0
46.0,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,2.0,999.0,,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33.0,self-employed,single,high.school,,yes,no,cellular,may,tue,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,0
38.0,,married,basic.6y,unknown,no,no,telephone,jun,tue,1.0,999.0,0.0,nonexistent,,94.465,-41.8,4.864,5228.1,0
51.0,self-employed,single,basic.9y,no,yes,no,cellular,nov,thu,1.0,999.0,0.0,nonexistent,-3.4,,-30.1,0.714,5017.5,1
,services,married,basic.4y,unknown,yes,no,cellular,aug,tue,1.0,999.0,0.0,,1.4,93.444,-36.1,4.965,5228.1,0
46.0,management,married,university.degree,no,no,yes,cellular,jul,fri,2.0,999.0,0.0,nonexistent,1.4,93.918,,4.962,5228.1,0
78.0,retired,married,basic.4y,no,no,yes,cellular,aug,wed,1.0,,0.0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,0
34.0,technician,divorced,professional.course,no,no,no,telephone,aug,fri,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
46.0,management,married,university.degree,no,no,no,cellular,may,mon,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
46.0,admin.,married,high.school,unknown,yes,,telephone,jun,mon,6.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
,technician,divorced,high.school,no,no,no,cellular,aug,mon,4.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
31.0,admin.,single,university.degree,no,yes,no,cellular,apr,mon,3.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
26.0,student,single,basic.9y,,no,yes,,mar,mon,4.0,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0
55.0,blue-collar,married,,no,yes,no,cellular,aug,mon,1.0,999.0,0.0,nonexistent,,93.444,-36.1,4.97,5228.1,0
33.0,technician,married,professional.course,no,no,yes,cellular,apr,fri,1.0,999.0,1.0,,-1.8,93.075,-47.1,1.405,,1
,services,,high.school,no,yes,no,cellular,jul,,2.0,999.0,,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36.0,services,married,high.school,no,no,no,telephone,jul,wed,2.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.802,,1
30.0,blue-collar,single,high.school,,yes,no,cellular,jul,tue,6.0,999.0,,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
36.0,blue-collar,single,basic.4y,no,no,no,telephone,may,fri,1.0,,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
,admin.,single,university.degree,no,yes,no,cellular,jul,fri,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
42.0,technician,single,professional.course,no,yes,no,cellular,jul,tue,6.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
45.0,admin.,,high.school,no,yes,no,cellular,aug,fri,2.0,999.0,0.0,,1.4,93.444,-36.1,4.963,5228.1,0
49.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,wed,1.0,999.0,1.0,failure,-0.1,93.2,,4.12,5195.8,0
26.0,technician,single,professional.course,no,no,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
33.0,management,single,university.degree,no,yes,yes,telephone,may,fri,2.0,999.0,,nonexistent,1.1,93.994,,4.855,5191.0,0
38.0,admin.,married,high.school,,yes,no,cellular,nov,mon,1.0,999.0,1.0,failure,-3.4,92.649,-30.1,0.714,5017.5,0
33.0,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,-1.8,93.876,-40.0,0.682,5008.7,0
41.0,technician,married,high.school,no,no,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
,technician,single,university.degree,no,,no,cellular,aug,tue,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
49.0,admin.,unknown,university.degree,no,yes,no,cellular,aug,thu,1.0,999.0,,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
51.0,technician,married,professional.course,no,no,yes,telephone,may,thu,,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
52.0,blue-collar,married,basic.9y,no,no,no,cellular,aug,tue,,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
31.0,unemployed,single,basic.4y,no,yes,,telephone,nov,fri,9.0,999.0,0.0,nonexistent,-0.1,93.2,,4.021,5195.8,0
39.0,admin.,,unknown,no,no,yes,telephone,may,fri,4.0,999.0,0.0,,1.1,93.994,-36.4,4.857,5191.0,0
47.0,admin.,married,university.degree,no,yes,yes,cellular,jun,tue,1.0,999.0,0.0,,-2.9,92.963,-40.8,1.206,5076.2,0
26.0,services,single,basic.9y,no,yes,no,cellular,jul,wed,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,,5228.1,0
